timestamp,facility,total_consumption_kwh,grid_kwh,solar_kwh,wind_kwh,diesel_kwh,temperature_c,occupancy_percent
2026-03-09 13:50:28.894774,Academic Block A,168.49,70.76,50.55,13.48,3.37,37.4,66.89632792781984
2026-03-09 14:50:28.894774,Academic Block A,236.46,99.31,70.94,18.92,4.73,22.7,81.7577575503248
2026-03-09 15:50:28.894774,Academic Block A,217.8,91.47,65.34,17.42,4.36,37.9,75.73796564735399
2026-03-09 16:50:28.894774,Academic Block A,210.59,88.45,63.18,16.85,4.21,37.5,78.07730485504558
2026-03-09 17:50:28.894774,Academic Block A,190.85,80.16,57.26,15.27,3.82,33.1,71.32019382859941
2026-03-09 18:50:28.894774,Academic Block A,158.08,66.4,47.43,12.65,3.16,31.3,66.8503522441404
2026-03-09 19:50:28.894774,Academic Block A,104.15,43.74,31.25,8.33,2.08,26.5,56.96126102064993
2026-03-09 20:50:28.894774,Academic Block A,105.45,63.27,0.0,8.44,2.11,29.3,43.249661302028365
2026-03-09 21:50:28.894774,Academic Block A,70.85,42.51,0.0,5.67,1.42,25.0,32.3626567644843
2026-03-09 22:50:28.894774,Academic Block A,61.8,37.08,0.0,4.94,1.24,31.3,20.915908047741958
2026-03-09 23:50:28.894774,Academic Block A,66.97,40.18,0.0,5.36,1.34,37.8,21.45508696676034
2026-03-10 00:50:28.894774,Academic Block A,56.4,33.84,0.0,4.51,1.13,27.0,18.707115807345424
2026-03-10 01:50:28.894774,Academic Block A,57.0,34.2,0.0,4.56,1.14,24.6,14.262396223211226
2026-03-10 02:50:28.894774,Academic Block A,59.24,35.54,0.0,4.74,1.18,37.2,12.61321993005449
2026-03-10 03:50:28.894774,Academic Block A,55.89,33.54,0.0,4.47,1.12,28.7,15.104914591217096
2026-03-10 04:50:28.894774,Academic Block A,60.15,36.09,0.0,4.81,1.2,22.7,6.859262406825384
2026-03-10 05:50:28.894774,Academic Block A,52.6,31.56,0.0,4.21,1.05,35.0,17.948346646787964
2026-03-10 06:50:28.894774,Academic Block A,49.95,29.97,0.0,4.0,1.0,31.5,14.378074176586153
2026-03-10 07:50:28.894774,Academic Block A,66.89,28.09,20.07,5.35,1.34,35.5,22.856756873674268
2026-03-10 08:50:28.894774,Academic Block A,64.04,26.9,19.21,5.12,1.28,28.6,22.872632397399173
2026-03-10 09:50:28.894774,Academic Block A,65.82,27.64,19.75,5.27,1.32,35.8,35.854682806385256
2026-03-10 10:50:28.894774,Academic Block A,108.55,45.59,32.56,8.68,2.17,37.9,42.602652380039274
2026-03-10 11:50:28.894774,Academic Block A,130.33,54.74,39.1,10.43,2.61,37.1,55.953620086658454
2026-03-10 12:50:28.894774,Academic Block A,140.72,59.1,42.22,11.26,2.81,29.2,59.130366290745464
2026-03-10 13:50:28.894774,Academic Block A,208.74,87.67,62.62,16.7,4.17,31.7,69.0612112359563
2026-03-10 14:50:28.894774,Academic Block A,217.92,91.53,65.38,17.43,4.36,31.9,76.4279535936725
2026-03-10 15:50:28.894774,Academic Block A,190.96,80.2,57.29,15.28,3.82,32.7,80.20307700903794
2026-03-10 16:50:28.894774,Academic Block A,224.18,94.15,67.25,17.93,4.48,30.3,81.36814141652948
2026-03-10 17:50:28.894774,Academic Block A,186.58,78.36,55.97,14.93,3.73,31.0,75.54131920750513
2026-03-10 18:50:28.894774,Academic Block A,147.85,62.1,44.35,11.83,2.96,24.1,58.1265989023639
2026-03-10 19:50:28.894774,Academic Block A,129.83,54.53,38.95,10.39,2.6,31.9,54.497943860876575
2026-03-10 20:50:28.894774,Academic Block A,86.27,51.76,0.0,6.9,1.73,24.2,37.19378198069182
2026-03-10 21:50:28.894774,Academic Block A,72.52,43.51,0.0,5.8,1.45,31.4,31.648113166081806
2026-03-10 22:50:28.894774,Academic Block A,63.44,38.06,0.0,5.07,1.27,36.5,23.621116348325117
2026-03-10 23:50:28.894774,Academic Block A,58.87,35.32,0.0,4.71,1.18,34.5,18.43889764977559
2026-03-11 00:50:28.894774,Academic Block A,57.84,34.71,0.0,4.63,1.16,35.8,20.06437184685236
2026-03-11 01:50:28.894774,Academic Block A,48.29,28.97,0.0,3.86,0.97,36.8,10.074287309068184
2026-03-11 02:50:28.894774,Academic Block A,50.1,30.06,0.0,4.01,1.0,29.3,15.15635059902566
2026-03-11 03:50:28.894774,Academic Block A,53.93,32.36,0.0,4.31,1.08,27.3,12.11163830084422
2026-03-11 04:50:28.894774,Academic Block A,49.97,29.98,0.0,4.0,1.0,23.2,7.884389880959356
2026-03-11 05:50:28.894774,Academic Block A,48.53,29.12,0.0,3.88,0.97,24.4,9.463857080132621
2026-03-11 06:50:28.894774,Academic Block A,58.16,34.89,0.0,4.65,1.16,24.9,14.02583844351457
2026-03-11 07:50:28.894774,Academic Block A,65.61,27.55,19.68,5.25,1.31,29.6,21.14904721177316
2026-03-11 08:50:28.894774,Academic Block A,58.29,24.48,17.49,4.66,1.17,25.1,20.5472478407569
2026-03-11 09:50:28.894774,Academic Block A,68.38,28.72,20.52,5.47,1.37,26.5,29.49577755785195
2026-03-11 10:50:28.894774,Academic Block A,82.75,34.75,24.82,6.62,1.65,23.9,41.65612300434025
2026-03-11 11:50:28.894774,Academic Block A,109.98,46.19,32.99,8.8,2.2,27.8,52.49131888843291
2026-03-11 12:50:28.894774,Academic Block A,160.95,67.6,48.29,12.88,3.22,22.6,65.83287612832095
2026-03-11 13:50:28.894774,Academic Block A,190.77,80.12,57.23,15.26,3.82,23.3,75.51056942198946
2026-03-11 14:50:28.894774,Academic Block A,233.41,98.03,70.02,18.67,4.67,23.0,75.61510289481612
2026-03-11 15:50:28.894774,Academic Block A,235.84,99.05,70.75,18.87,4.72,34.0,76.84521019356377
2026-03-11 16:50:28.894774,Academic Block A,189.17,79.45,56.75,15.13,3.78,27.9,77.6915562652543
2026-03-11 17:50:28.894774,Academic Block A,190.24,79.9,57.07,15.22,3.8,27.9,71.40013034225316
2026-03-11 18:50:28.894774,Academic Block A,163.56,68.7,49.07,13.08,3.27,22.6,60.36314158267072
2026-03-11 19:50:28.894774,Academic Block A,128.32,53.89,38.5,10.27,2.57,36.3,52.573920601041
2026-03-11 20:50:28.894774,Academic Block A,95.3,57.18,0.0,7.62,1.91,23.7,41.52245899224754
2026-03-11 21:50:28.894774,Academic Block A,76.67,46.0,0.0,6.13,1.53,25.9,30.418105024578292
2026-03-11 22:50:28.894774,Academic Block A,62.27,37.36,0.0,4.98,1.25,22.3,23.35935333392389
2026-03-11 23:50:28.894774,Academic Block A,53.55,32.13,0.0,4.28,1.07,27.2,15.671091144755401
2026-03-12 00:50:28.894774,Academic Block A,62.34,37.4,0.0,4.99,1.25,31.5,17.360188801720835
2026-03-12 01:50:28.894774,Academic Block A,58.69,35.21,0.0,4.7,1.17,30.0,6.022327259147039
2026-03-12 02:50:28.894774,Academic Block A,54.61,32.77,0.0,4.37,1.09,31.4,12.81041958801419
2026-03-12 03:50:28.894774,Academic Block A,52.95,31.77,0.0,4.24,1.06,24.0,8.615388815664206
2026-03-12 04:50:28.894774,Academic Block A,51.97,31.18,0.0,4.16,1.04,32.3,12.303375708541983
2026-03-12 05:50:28.894774,Academic Block A,52.27,31.36,0.0,4.18,1.05,37.8,14.13333354720739
2026-03-12 06:50:28.894774,Academic Block A,51.4,30.84,0.0,4.11,1.03,23.6,12.097757002119259
2026-03-12 07:50:28.894774,Academic Block A,54.16,22.75,16.25,4.33,1.08,24.6,16.339140067075945
2026-03-12 08:50:28.894774,Academic Block A,60.48,25.4,18.14,4.84,1.21,24.8,29.106215924356363
2026-03-12 09:50:28.894774,Academic Block A,66.36,27.87,19.91,5.31,1.33,30.4,31.829640984981097
2026-03-12 10:50:28.894774,Academic Block A,108.06,45.38,32.42,8.64,2.16,23.8,41.02689131447041
2026-03-12 11:50:28.894774,Academic Block A,137.59,57.79,41.28,11.01,2.75,35.8,55.62786688937714
2026-03-12 12:50:28.894774,Academic Block A,141.2,59.3,42.36,11.3,2.82,24.7,64.52520433847482
2026-03-12 13:50:28.894774,Academic Block A,207.38,87.1,62.22,16.59,4.15,30.9,72.49091007562068
2026-03-12 14:50:28.894774,Academic Block A,193.57,81.3,58.07,15.49,3.87,34.3,74.71676389891933
2026-03-12 15:50:28.894774,Academic Block A,204.57,85.92,61.37,16.37,4.09,28.8,80.07610378684456
2026-03-12 16:50:28.894774,Academic Block A,191.23,80.32,57.37,15.3,3.82,23.8,78.95252683776042
2026-03-12 17:50:28.894774,Academic Block A,172.07,72.27,51.62,13.77,3.44,31.3,68.3184103336637
2026-03-12 18:50:28.894774,Academic Block A,151.4,63.59,45.42,12.11,3.03,30.5,58.35700750745478
2026-03-12 19:50:28.894774,Academic Block A,114.69,48.17,34.41,9.18,2.29,24.2,48.09089588461202
2026-03-12 20:50:28.894774,Academic Block A,108.27,64.96,0.0,8.66,2.17,27.2,45.147079782559345
2026-03-12 21:50:28.894774,Academic Block A,70.34,42.2,0.0,5.63,1.41,32.9,35.327951313981345
2026-03-12 22:50:28.894774,Academic Block A,66.5,39.9,0.0,5.32,1.33,29.5,24.2569708195648
2026-03-12 23:50:28.894774,Academic Block A,55.97,33.58,0.0,4.48,1.12,36.9,22.77966390444018
2026-03-13 00:50:28.894774,Academic Block A,63.58,38.15,0.0,5.09,1.27,24.0,17.87784036231238
2026-03-13 01:50:28.894774,Academic Block A,61.1,36.66,0.0,4.89,1.22,24.9,5.8180870519405765
2026-03-13 02:50:28.894774,Academic Block A,57.92,34.75,0.0,4.63,1.16,31.2,13.77431261375361
2026-03-13 03:50:28.894774,Academic Block A,48.21,28.93,0.0,3.86,0.96,34.7,7.793902958154407
2026-03-13 04:50:28.894774,Academic Block A,48.73,29.24,0.0,3.9,0.97,24.6,14.741339864166685
2026-03-13 05:50:28.894774,Academic Block A,57.33,34.4,0.0,4.59,1.15,30.4,11.663890194873545
2026-03-13 06:50:28.894774,Academic Block A,62.11,37.27,0.0,4.97,1.24,28.3,18.73516000499171
2026-03-13 07:50:28.894774,Academic Block A,57.56,24.17,17.27,4.6,1.15,28.0,19.100267683258956
2026-03-13 08:50:28.894774,Academic Block A,60.8,25.53,18.24,4.86,1.22,34.0,25.165765579016906
2026-03-13 09:50:28.894774,Academic Block A,69.82,29.33,20.95,5.59,1.4,36.4,31.564584928816597
2026-03-13 10:50:28.894774,Academic Block A,95.63,40.16,28.69,7.65,1.91,36.5,43.29071528315292
2026-03-13 11:50:28.894774,Academic Block A,106.74,44.83,32.02,8.54,2.13,37.0,53.73422671059852
2026-03-13 12:50:28.894774,Academic Block A,144.72,60.78,43.42,11.58,2.89,24.2,65.77902403193347
